CustomerID,frequency,monetary,recency,recency_group,frequency_group
,1428,1755276.64,0,Old,High
12346,1,77183.6,325,Old,Low
12347,7,4310,2,Old,Medium
12348,4,1797.24,75,Old,Low
12349,1,1757.55,18,Old,Low
12350,1,334.4,310,Old,Low
12352,8,2506.04,36,Old,Medium
12353,1,89,204,Old,Low
12354,1,1079.4,232,Old,Low
12355,1,459.4,214,Old,Low
12356,3,2811.43,22,Old,Low
12357,1,6207.67,33,Old,Low
12358,2,1168.06,1,Old,Low
12359,4,6372.58,57,Old,Low
12360,3,2662.06,52,Old,Low
12361,1,189.9,287,Old,Low
12362,10,5226.23,3,Old,High
12363,2,552,109,Old,Low
12364,4,1313.1,7,Old,Low
12365,2,641.38,291,Old,Low
12367,1,168.9,4,Old,Low
12370,4,3545.69,51,Old,Low
12371,2,1887.96,44,Old,Low
12372,3,1298.04,71,Old,Low
12373,1,364.6,311,Old,Low
12374,1,742.93,25,Old,Low
12375,2,457.5,10,Old,Low
12377,2,1628.12,315,Old,Low
12378,1,4008.62,129,Old,Low
12379,2,852.24,81,Old,Low
12380,4,2724.81,21,Old,Low
12381,5,1845.31,4,Old,Medium
12383,5,1850.56,184,Old,Medium
12384,2,585.27,28,Old,Low
12386,2,401.9,337,Old,Low
12388,6,2780.66,15,Old,Medium
12390,1,549.84,79,Old,Low
12391,1,460.89,21,Old,Low
12393,4,1582.6,72,Old,Low
12394,2,1272.48,63,Old,Low
12395,12,3018.63,19,Old,High
12397,2,2409.9,35,Old,Low
12398,1,1635.66,45,Old,Low
12399,4,1108.65,119,Old,Low
12401,1,84.3,303,Old,Low
12402,1,225.6,323,Old,Low
12403,1,427.7,49,Old,Low
12405,1,1710.39,148,Old,Low
12406,2,3415.3,22,Old,Low
12407,5,1708.12,49,Old,Medium
12408,5,2888.55,32,Old,Medium
12409,3,11072.67,78,Old,Low
12410,2,693.33,308,Old,Low
12412,3,1226.88,74,Old,Low
12413,3,758.1,66,Old,Low
12414,3,562.41,217,Old,Low
12415,21,124914.53,24,Old,High
12417,9,3649.1,3,Old,Medium
12418,1,668.58,112,Old,Low
12420,1,600.39,63,Old,Low
12421,4,807.04,15,Old,Low
12422,3,803.56,95,Old,Low
12423,8,1859.31,0,Old,Medium
12424,2,1760.96,162,Old,Low
12425,1,777.2,78,Old,Low
12426,1,582.73,194,Old,Low
12427,3,825.8,21,Old,Low
12428,9,7956.46,25,Old,Medium
12429,4,3750.4,9,Old,Low
12430,1,256.4,43,Old,Low
12431,15,6487.45,35,Old,High
12432,5,5059.32,42,Old,Medium
12433,7,13375.87,0,Old,Medium
12434,2,806.14,84,Old,Low
12435,2,7829.89,79,Old,Low
12436,1,509.01,99,Old,Low
12437,18,4951.41,1,Old,High
12438,2,2906.85,14,Old,Low
12441,1,173.55,366,Old,Low
12442,1,172.06,3,Old,Low
12444,5,5005.46,21,Old,Medium
12445,1,133.4,22,Old,Low
12446,1,1002.31,57,Old,Low
12447,1,476.49,243,Old,Low
12448,1,449.45,44,Old,Low
12449,4,4067.29,22,Old,Low
12450,2,197.88,156,Old,Low
12451,5,9035.52,10,Old,Medium
12452,2,430.57,16,Old,Low
12453,1,707.09,134,Old,Low
12454,1,3528.34,56,Old,Low
12455,6,2466.86,73,Old,Medium
12456,3,3181.04,44,Old,Low
12457,7,2363.23,66,Old,Medium
